Total_minutes_spent,No_of_times_visited,Total_products_purchased,Buy_Probability,Total_cart_value,User_rank
58.401666666666664,10,1,0.1,44.68,4.468
21.02875,70,1,0.014285714285714285,29.98,0.42828571428571427
36.57235,4,1,0.25,30.48,7.62
17.763616666666667,15,3,0.2,127.96000000000001,25.592000000000002
11.455866666666667,11,1,0.09090909090909091,50.92,4.62909090909091
21.854766666666666,6,1,0.16666666666666666,78.0,13.0
55.02865,28,3,0.10714285714285714,74.89,8.023928571428572
34.2243,24,2,0.08333333333333333,89.12,7.426666666666667
26.889599999999998,9,1,0.1111111111111111,26.62,2.957777777777778
20.369566666666667,6,2,0.3333333333333333,494.4,164.79999999999998
52.37803333333333,36,3,0.08333333333333333,133.7,11.141666666666666
24.061766666666664,86,5,0.05813953488372093,420.56000000000006,24.451162790697676
36.5127,9,1,0.1111111111111111,22.5,2.5
1.7602499999999999,3,1,0.3333333333333333,28.92,9.64
21.274516666666667,14,1,0.07142857142857142,30.48,2.177142857142857
2.434766666666667,4,1,0.25,52.14,13.035
54.89248333333333,7,3,0.42857142857142855,112.41,48.17571428571428
45.240199999999994,21,3,0.14285714285714285,129.01999999999998,18.43142857142857
20.143666666666665,54,2,0.037037037037037035,57.86,2.142962962962963
56.85685,79,1,0.012658227848101266,44.68,0.5655696202531646
16.751133333333332,5,1,0.2,50.92,10.184000000000001
54.586533333333335,18,4,0.2222222222222222,279.3,62.06666666666666
5.612683333333334,55,4,0.07272727272727272,181.78,13.220363636363636
31.28513333333333,9,1,0.1111111111111111,217.15,24.127777777777776
46.99128333333333,14,3,0.21428571428571427,91.44,19.594285714285714
4.01245,5,5,1.0,199.51999999999998,199.51999999999998
23.231949999999998,5,1,0.2,26.62,5.324000000000001
10.151516666666668,5,1,0.2,52.14,10.428
33.98515,68,2,0.029411764705882353,60.959999999999994,1.792941176470588
36.624066666666664,5,1,0.2,115.3,23.060000000000002
45.92268333333333,20,1,0.05,30.48,1.524
26.9647,4,1,0.25,95.0,23.75
12.8597,24,3,0.125,126.08,15.76
0.2354,6,1,0.16666666666666666,79.96,13.326666666666664
18.611216666666667,22,3,0.13636363636363635,101.58,13.85181818181818
2.2757833333333335,56,7,0.125,253.42000000000002,31.677500000000002
20.75183333333333,25,1,0.04,76.4,3.0560000000000005
10.84985,3,1,0.3333333333333333,51.24,17.08
14.774166666666668,34,3,0.08823529411764706,126.08,11.124705882352941
51.31648333333333,7,1,0.14285714285714285,39.12,5.588571428571428
4.033316666666667,3,1,0.3333333333333333,53.24,17.746666666666666
1.4406666666666665,3,3,1.0,147.7,147.7
53.946466666666666,22,2,0.09090909090909091,60.96,5.541818181818182
56.924499999999995,5,2,0.4,60.959999999999994,24.384
10.919433333333334,30,3,0.1,107.89999999999999,10.79
25.592233333333336,75,7,0.09333333333333334,243.8,22.75466666666667
7.328633333333333,32,2,0.0625,89.5,5.59375
57.25686666666666,45,1,0.022222222222222223,44.68,0.9928888888888889
57.21661666666667,57,4,0.07017543859649122,127.38999999999999,8.939649122807015
58.5907,18,1,0.05555555555555555,25.46,1.4144444444444444
14.013716666666665,10,1,0.1,50.92,5.0920000000000005
12.8819,77,2,0.025974025974025976,72.72,1.888831168831169
48.3759,17,1,0.058823529411764705,42.54,2.5023529411764707
28.331149999999997,20,2,0.1,68.34,6.8340000000000005
4.5818,3,1,0.3333333333333333,52.14,17.38
